S_no,name,data_2015,data_2016,data_2017,data_2018
1,Andhra Pradesh,9816,9553,8936,8251
2,Arunachal Pradesh,132,135,113,105
3,Assam,3446,2759,2813,3389
4,Bihar,2257,2034,2433,2771
5,Chhattisgarh,3585,3844,3345,3592
6,Goa,650,472,709,541
7,Gujarat,4299,3955,3062,3677
8,Haryana,3097,3157,3588,3337
9,Himachal Pradesh,1767,2435,2576,2559
10,Jammu & Kashmir,3146,2895,2554,2762
11,Jharkhand,1555,1504,1264,1223
12,Karnataka,16813,17856,17242,16503
13,Kerala,10542,10521,9990,10461
14,Madhya Pradesh,10260,11375,11616,10055
15,Maharashtra,9577,9515,8351,8457
16,Manipur,770,591,685,585
17,Meghalaya,165,206,158,36
18,Mizoram,26,39,11,32
19,Nagaland,39,85,268,180
20,Odisha,4950,4354,4487,4494
21,Punjab,1339,1287,1717,1582
22,Rajasthan,7526,7023,7085,7023
23,Sikkim,172,96,173,116
24,Tamil Nadu,26355,27844,25268,24016
25,Telangana,6239,6504,6856,7049
26,Tripura,422,304,338,227
27,Uttarakhand,713,958,940,759
28,Uttar Pradesh,9618,9197,10232,10912
29,West Bengal,4270,4096,3959,4203
30,Andaman & Nicobar Islands,119,160,123,99
31,Chandigarh,39,22,29,35
32,Dadra & Nagar Haveli,0,0,0,0
33,Daman & Diu,2,0,2,0
34,Delhi,888,650,760,704
35,Lakshadweep,0,0,0,0
36,Puducherry,747,860,939,887
